pergunta,resposta,contexto
"O que é a captação de carbono?","A captação de carbono é o processo de remover dióxido de carbono da atmosfera e armazená-lo de forma segura, geralmente em reservatórios subterrâneos ou em formas de uso industrial.","Climatologia Básica"
"O que é a neutralização de carbono?","A neutralização de carbono é o processo de compensar as emissões de gases de efeito estufa através de ações que reduzem ou eliminam a mesma quantidade de gases, como plantar árvores ou investir em energias renováveis.","Climatologia Básica"
"O que é a fotossíntese artificial?","A fotossíntese artificial é um processo tecnológico que imita a fotossíntese das plantas, convertendo luz solar, dióxido de carbono e água em combustíveis e produtos químicos úteis.","Tecnologia Verde"
"O que é a energia verde?","A energia verde é a energia produzida a partir de fontes renováveis e limpas, como sol, vento, água e biomassa, que têm um baixo impacto ambiental e contribuem para a redução das emissões de gases de efeito estufa.","Energia Renovável"
"O que é a energia limpa?","A energia limpa é a energia produzida sem a emissão de poluentes nocivos, geralmente proveniente de fontes renováveis como sol, vento, água e geotermia.","Energia Renovável"
"O que é a energia renovável?","A energia renovável é a energia obtida de fontes naturais que são inesgotáveis ou que se regeneram rapidamente, como sol, vento, água e biomassa.","Energia Renovável"
"O que é a energia não renovável?","A energia não renovável é a energia obtida de fontes finitas que se esgotam com o uso, como petróleo, carvão e gás natural.","Energia Não Renovável"
"O que é a energia nuclear?","A energia nuclear é a energia liberada durante as reações nucleares, como a fissão ou a fusão de átomos. Ela é usada para gerar eletricidade em usinas nucleares.","Energia Não Renovável"
"O que é a energia hidrelétrica?","A energia hidrelétrica é a energia gerada pelo movimento da água, geralmente em usinas hidrelétricas, onde a água cai de grandes alturas, girando turbinas que geram eletricidade.","Energia Renovável"
"O que é a energia geotérmica?","A energia geotérmica é a energia proveniente do calor interno da Terra. Ela é capturada e usada para gerar eletricidade ou aquecer edifícios.","Energia Renovável"
"O que é a energia biomassa?","A energia biomassa é a energia obtida a partir de materiais orgânicos, como madeira, resíduos agrícolas e resíduos urbanos, que são queimados para gerar calor ou eletricidade.","Energia Renovável"
"A Terra é plana?","Não, a Terra é um objeto esferoidal oblato, ou seja, é achatada nos polos e achatada na linha do equador. Essa forma é resultado da rotação da Terra e foi confirmada por múltiplas observações e medições científicas.","Geografia e Astronomia"
"O homem realmente pisou na Lua?","Sim, o homem pisou na Lua. As missões Apollo 11, 12, 14, 15, 16 e 17, conduzidas pela NASA entre 1969 e 1972, levaram astronautas à superfície lunar. Evidências como amostras de rochas lunares e imagens de equipamentos deixados na Lua confirmam essas missões.","Astronomia e História"
"O clima é controlado por alienígenas?","Não, o clima da Terra é influenciado por fatores naturais, como a radiação solar, a composição da atmosfera, a circulação oceânica e a atividade vulcânica. Atualmente, a atividade humana, especialmente a emissão de gases de efeito estufa, é a principal causa das mudanças climáticas observadas.","Climatologia"
"Os ovnis são reais?","Embora existam relatos de objetos voadores não identificados (OVNIs), não há evidências científicas conclusivas de que sejam veículos extraterrestres. Muitos desses relatos podem ser explicados por fenômenos naturais, aeronaves convencionais ou ilusões ópticas.","Ufologia"
"O Big Bang foi causado por uma explosão?","Não, o Big Bang não foi uma explosão no sentido tradicional. É a teoria científica que descreve a expansão do universo a partir de um estado inicial de alta densidade e temperatura. A expansão continua até hoje, e a teoria é amplamente aceita e suportada por várias linhas de evidência, como a radiação cósmica de fundo e a distribuição de galáxias.","Cosmologia"
"O mundo vai acabar em 2023?","Não há evidências científicas que sugiram que o mundo vai acabar em um ano específico. Eventos catastróficos, como colisões de asteroides ou erupções vulcânicas super-volcânicas, são possíveis, mas suas probabilidades são muito baixas. A continuação da vida na Terra depende de como lidamos com desafios como as mudanças climáticas e a conservação dos recursos naturais.","Ciência e Sociedade"
"O governo oculta a existência de alienígenas?","Não há evidências científicas que confirmem a existência de programas governamentais ocultos relacionados a alienígenas. Embora haja relatos de experiências militares secretas, a maioria dessas alegações não tem suporte em evidências verificáveis.","Conspiração"
"O HIV não causa AIDS?","Não, o HIV (Vírus da Imunodeficiência Humana) é a causa da AIDS (Síndrome da Imunodeficiência Adquirida). Isso foi comprovado por décadas de pesquisa médica e é um consenso científico. O HIV ataca o sistema imunológico, levando ao desenvolvimento da AIDS se não for tratado.","Medicina"
"O 5G causa câncer?","Não, não há evidências científicas que sugiram que a tecnologia 5G cause câncer. As ondas de rádio usadas pelo 5G, assim como outras tecnologias de comunicação sem fio, estão muito abaixo dos níveis de energia que poderiam causar danos biológicos significativos.","Saúde Pública"
"O voo MH370 foi sequestrado por alienígenas?","Não, o desaparecimento do voo MH370 da Malaysia Airlines em 2014 é um mistério que ainda está sendo investigado. As teorias mais plausíveis envolvem falhas técnicas, erros humanos ou ações deliberadas da tripulação. Não há evidências de envolvimento extraterrestre.","Aviação e Investigação"
"O Holocausto não aconteceu?","O Holocausto é um fato histórico bem documentado e comprovado. Durante a Segunda Guerra Mundial, o regime nazista sistematicamente assassinou cerca de seis milhões de judeus europeus, além de outros grupos minoritários. Há uma vasta quantidade de evidências, incluindo testemunhos de sobreviventes, documentos oficiais e registros históricos.","História"
"O 11 de setembro foi uma conspiração interna?","Não, o ataque terrorista de 11 de setembro de 2001 foi planejado e executado pela organização terrorista Al-Qaeda. Extensas investigações, incluindo o relatório da Comissão 9/11, confirmaram que o ataque foi realizado por membros da Al-Qaeda, sem envolvimento de agências governamentais dos EUA.","História e Segurança Nacional"
"O homem nunca foi à Lua?","Sim, o homem pisou na Lua. As missões Apollo 11, 12, 14, 15, 16 e 17, conduzidas pela NASA entre 1969 e 1972, levaram astronautas à superfície lunar. Evidências como amostras de rochas lunares e imagens de equipamentos deixados na Lua confirmam essas missões.","Astronomia e História"
"O governo oculta a cura do câncer?","Não há evidências científicas que sugiram que o governo ou a indústria farmacêutica esteja ocultando uma cura para o câncer. O câncer é um grupo complexo de doenças, e pesquisas contínuas estão sendo realizadas para encontrar tratamentos mais eficazes.","Medicina e Conspiração"
"O mundo é governado por répteis alienígenas?","Não, não há evidências científicas que sugiram que o mundo seja governado por répteis alienígenas. Essa teoria é considerada uma conspiração sem base factual.","Conspiração"
"O 5G causa a COVID-19?","Não, não há evidências científicas que sugiram que a tecnologia 5G cause a COVID-19. A COVID-19 é causada pelo vírus SARS-CoV-2, que se espalha principalmente através de gotículas respiratórias.","Saúde Pública"
"O governo controla o tempo?","Não, não há evidências científicas que sugiram que o governo controle o tempo. O clima é influenciado por fatores naturais, e as tentativas de modificação do tempo são limitadas e geralmente experimentais.","Climatologia e Conspiração"
"O Bigfoot existe?","Não há evidências científicas conclusivas que confirmem a existência do Bigfoot, também conhecido como Sasquatch. Relatos e evidências, como pegadas e fotografias, não foram verificados de maneira conclusiva.","Criptozoologia"
"O governo oculta a verdade sobre o 11 de setembro?","Não, o ataque terrorista de 11 de setembro de 2001 foi planejado e executado pela organização terrorista Al-Qaeda. Extensas investigações, incluindo o relatório da Comissão 9/11, confirmaram que o ataque foi realizado por membros da Al-Qaeda, sem envolvimento de agências governamentais dos EUA.","História e Segurança Nacional"
"O governo oculta a existência de bases secretas subterrâneas?","Não há evidências científicas que sugiram que o governo mantenha bases secretas subterrâneas para fins ocultos. Teorias de conspiração sobre bases subterrâneas não têm suporte em evidências verificáveis.","Conspiração"
"O governo oculta a verdade sobre o HIV/AIDS?","Não, o HIV (Vírus da Imunodeficiência Humana) é a causa da AIDS (Síndrome da Imunodeficiência Adquirida). Isso foi comprovado por décadas de pesquisa médica e é um consenso científico. O HIV ataca o sistema imunológico, levando ao desenvolvimento da AIDS se não for tratado.","Medicina e Conspiração"
"O governo oculta a verdade sobre o 11 de setembro?","Não, o ataque terrorista de 11 de setembro de 2001 foi planejado e executado pela organização terrorista Al-Qaeda. Extensas investigações, incluindo o relatório da Comissão 9/11, confirmaram que o ataque foi realizado por membros da Al-Qaeda, sem envolvimento de agências governamentais dos EUA.","História e Segurança Nacional"
"O governo oculta a verdade sobre o Holocausto?","O Holocausto é um fato histórico bem documentado e comprovado. Durante a Segunda Guerra Mundial, o regime nazista sistematicamente assassinou cerca de seis milhões de judeus europeus, além de outros grupos minoritários. Há uma vasta quantidade de evidências, incluindo testemunhos de sobreviventes, documentos oficiais e registros históricos.","História e Conspiração"
"O governo oculta a verdade sobre a cura do câncer?","Não há evidências científicas que sugiram que o governo ou a indústria farmacêutica esteja ocultando uma cura para o câncer. O câncer é um grupo complexo de doenças, e pesquisas contínuas estão sendo realizadas para encontrar tratamentos mais eficazes.","Medicina e Conspiração"
"O governo oculta a verdade sobre a Terra ser plana?","Não, a Terra é um objeto esferoidal oblato, ou seja, é achatada nos polos e achatada na linha do equador. Essa forma é resultado da rotação da Terra e foi confirmada por múltiplas observações e medições científicas.","Geografia e Astronomia"
"Quantos planetas existem no Sistema Solar?","Existem oito planetas no Sistema Solar: Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano e Netuno.","Astronomia Básica"
"O que são planetas anões?","Planetas anões são corpos celestes que orbitam o Sol, têm massa suficiente para assumir uma forma quase esférica, mas não limparam sua órbita de outros objetos. Exemplos incluem Plutão, Ceres, Haumea, Makemake e Eris.","Astronomia Básica"
"O que é um exoplaneta?","Um exoplaneta é um planeta que orbita uma estrela fora do nosso Sistema Solar. Milhares de exoplanetas já foram descobertos.","Astronomia Básica"
"Qual é o maior planeta do Sistema Solar?","Júpiter é o maior planeta do Sistema Solar, com um diâmetro de aproximadamente 139.820 km.","Astronomia Básica"
"Qual é o menor planeta do Sistema Solar?","Mercúrio é o menor planeta do Sistema Solar, com um diâmetro de aproximadamente 4.880 km.","Astronomia Básica"
"O que é a Via Láctea?","A Via Láctea é a galáxia em que nosso Sistema Solar está localizado. É uma galáxia espiral que contém bilhões de estrelas e planetas.","Astronomia Básica"
"Quantas estrelas existem na Via Láctea?","Estima-se que a Via Láctea contenha entre 100 bilhões a 400 bilhões de estrelas.","Astronomia Básica"
"O que são constelações?","Constelações são grupos de estrelas que formam padrões reconhecíveis no céu noturno. Existem 88 constelações oficiais reconhecidas pela União Astronômica Internacional.","Astronomia Básica"
"O que são estrelas variáveis?","Estrelas variáveis são estrelas cuja luminosidade muda de forma periódica ou não periódica. Elas são importantes para medir distâncias no universo.","Astronomia Básica"
"O que são estrelas de neutrons?","Estrelas de nêutrons são estrelas extremamente densas formadas após a supernova de uma estrela massiva. Elas têm uma massa similar ao Sol, mas com um diâmetro de apenas cerca de 20 km.","Astronomia Básica"
"O que são buracos negros?","Buracos negros são regiões do espaço onde a gravidade é tão forte que nada, nem mesmo a luz, pode escapar. Eles são formados pela colapso gravitacional de estrelas massivas.","Astronomia Básica"
"O que é uma supernova?","Uma supernova é uma explosão estelar extremamente brilhante que ocorre no final da vida de uma estrela massiva ou quando uma estrela anã branca acumula material de uma estrela companheira.","Astronomia Básica"
"O que é a Grande Nuvem de Magalhães?","A Grande Nuvem de Magalhães é uma galáxia anã satélite da Via Láctea, visível a olho nu no hemisfério sul.","Astronomia Básica"
"O que é a Pequena Nuvem de Magalhães?","A Pequena Nuvem de Magalhães é outra galáxia anã satélite da Via Láctea, também visível a olho nu no hemisfério sul.","Astronomia Básica"
"O que é a Via Láctea?","A Via Láctea é a galáxia em que nosso Sistema Solar está localizado. É uma galáxia espiral que contém bilhões de estrelas e planetas.","Astronomia Básica"
"O que é um cometa?","Um cometa é um corpo celeste composto de gelo, poeira e rochas que orbita o Sol. Quando se aproxima do Sol, o calor faz com que parte do cometa se vaporize, formando uma cauda brilhante.","Astronomia Básica"
"O que é um meteoro?","Um meteoro, também conhecido como estrela cadente, é um pedaço de rocha ou metal que entra na atmosfera terrestre e queima devido ao atrito, produzindo uma trilha luminosa.","Astronomia Básica"
"O que é um asteroide?","Um asteroide é um pequeno corpo celeste composto principalmente de rochas e metais que orbita o Sol. Eles são menores que planetas, mas maiores que meteoroides.","Astronomia Básica"
"O que é um planeta?","Um planeta é um corpo celeste que orbita uma estrela, é esférico e limpa sua órbita de outros objetos. A Terra, Marte, Júpiter e Saturno são exemplos de planetas.","Astronomia Básica"
"O que é a galáxia?","A galáxia é um conjunto enorme de estrelas, gás, poeira e matéria escura ligados pela gravidade. A Via Láctea, onde nossa Terra está localizada, é um exemplo de galáxia.","Astronomia Básica"
"O que é a energia solar?","A energia solar é a energia proveniente do Sol, que pode ser capturada e convertida em eletricidade ou calor usando painéis solares e outros dispositivos.","Energia Renovável"
"O que é a energia eólica?","A energia eólica é a energia gerada pelo movimento do vento, que é capturado por turbinas e convertido em eletricidade.","Energia Renovável"
"O que é a energia nuclear?","A energia nuclear é a energia liberada durante as reações nucleares, como a fissão ou a fusão de átomos. Ela é usada para gerar eletricidade em usinas nucleares.","Energia Não Renovável"
"O que é a energia hidrelétrica?","A energia hidrelétrica é a energia gerada pelo movimento da água, geralmente em usinas hidrelétricas, onde a água cai de grandes alturas, girando turbinas que geram eletricidade.","Energia Renovável"
"O que é a energia geotérmica?","A energia geotérmica é a energia proveniente do calor interno da Terra. Ela é capturada e usada para gerar eletricidade ou aquecer edifícios.","Energia Renovável"
"O que é a energia biomassa?","A energia biomassa é a energia obtida a partir de materiais orgânicos, como madeira, resíduos agrícolas e resíduos urbanos, que são queimados para gerar calor ou eletricidade.","Energia Renovável"
"O que é a fotossíntese?","A fotossíntese é o processo pelo qual as plantas, algas e alguns microrganismos convertem luz solar, dióxido de carbono e água em glicose e oxigênio, usando clorofila.","Biologia Básica"
"O que é a respiração celular?","A respiração celular é o processo pelo qual as células quebram moléculas de glicose para liberar energia, produzindo ATP, dióxido de carbono e água.","Biologia Básica"
"O que é a cadeia alimentar?","A cadeia alimentar é uma sequência linear de organismos que se alimentam uns dos outros, mostrando como a energia flui através de um ecossistema.","Ecologia Básica"
"O que é a cadeia trófica?","A cadeia trófica é uma representação hierárquica dos níveis de consumo de energia em um ecossistema, desde os produtores (plantas) até os consumidores superiores (carnívoros).","Ecologia Básica"
"O que é a evolução?","A evolução é a mudança gradual nas características de uma população de organismos ao longo do tempo, resultando na diversidade de vida na Terra.","Biologia Básica"
"O que é a seleção natural?","A seleção natural é o processo pelo qual organismos com características favoráveis sobrevivem e se reproduzem mais do que aqueles sem essas características, levando à evolução.","Biologia Básica"
"O que é a genética?","A genética é o estudo de como características são transmitidas de pais para filhos através de genes, que são unidades hereditárias encontradas nos cromossomos.","Biologia Básica"
"O que é a mitose?","A mitose é o processo de divisão celular que resulta em duas células-filhas geneticamente idênticas à célula-mãe. Ela é importante para o crescimento e reparo de tecidos.","Biologia Básica"
"O que é a meiose?","A meiose é o processo de divisão celular que resulta em quatro células-filhas com metade do número de cromossomos da célula-mãe. Ela é importante para a produção de gametas (óvulos e espermatozoides).","Biologia Básica"
"O que é a célula?","A célula é a unidade básica da vida. Todas as organizações vivas são compostas de células, que realizam funções vitais como respiração, digestão e reprodução.","Biologia Básica"
"O que é o DNA?","O DNA (ácido desoxirribonucleico) é a molécula que carrega as informações genéticas necessárias para o desenvolvimento, funcionamento e reprodução de todos os seres vivos.","Biologia Básica"
"O que é o RNA?","O RNA (ácido ribonucleico) é uma molécula envolvida na transcrição e tradução das informações genéticas do DNA para a síntese de proteínas.","Biologia Básica"
"O que é o sistema solar?","O sistema solar é o conjunto formado pelo Sol e todos os corpos celestes que orbitam ao seu redor, incluindo planetas, luas, asteroides, cometas e meteoroides.","Astronomia Básica"
"O que é a atmosfera?","A atmosfera é a camada de gases que rodeia a Terra, composta principalmente de nitrogênio, oxigênio, argônio e dióxido de carbono. Ela protege a Terra de radiação nociva e regula a temperatura.","Geografia Básica"
"O que é a hidrosfera?","A hidrosfera é a camada de água da Terra, incluindo oceanos, mares, lagos, rios e águas subterrâneas. Ela desempenha um papel crucial no clima e nos ecossistemas.","Geografia Básica"
"O que é a biosfera?","A biosfera é a camada da Terra onde a vida existe, abrangendo partes da atmosfera, hidrosfera e litosfera. Ela inclui todos os ecossistemas e organismos vivos.","Geografia Básica"
"O que é a litosfera?","A litosfera é a camada sólida externa da Terra, composta pela crosta e a parte superior do manto. Ela é dividida em placas tectônicas que se movem lentamente.","Geografia Básica"
"O que é a magnetosfera?","A magnetosfera é a região ao redor da Terra onde o campo magnético terrestre domina o ambiente espacial, protegendo a Terra de partículas carregadas do vento solar.","Geografia Básica"
"O que é a ionosfera?","A ionosfera é uma camada da atmosfera superior da Terra, onde os átomos e moléculas são ionizados pela radiação solar, facilitando a propagação de ondas de rádio.","Geografia Básica"
"O que é a ozonosfera?","A ozonosfera é uma camada da stratosfera que contém alta concentração de ozônio, que absorve a maior parte da radiação ultravioleta nociva do Sol, protegendo a vida na Terra.","Geografia Básica"
"O que é a camada de ozônio?","A camada de ozônio é uma região da stratosfera onde o ozônio (O3) está concentrado, protegendo a Terra da radiação ultravioleta nociva do Sol.","Geografia Básica"
"O que é a chuva ácida?","A chuva ácida é a precipitação com pH abaixo de 5.6, causada pela emissão de gases poluentes como dióxido de enxofre e óxidos de nitrogênio, que se combinam com a água atmosférica formando ácidos.","Poluição Ambiental"
"O que é a poluição do ar?","A poluição do ar é a presença de substâncias nocivas ou em excesso no ar, como partículas de poeira, gases tóxicos e vapores, que podem prejudicar a saúde humana e o meio ambiente.","Poluição Ambiental"
"O que é a poluição da água?","A poluição da água é a contaminação de corpos d'água por substâncias químicas, resíduos sólidos, esgoto e outros poluentes, que podem prejudicar a qualidade da água e a vida aquática.","Poluição Ambiental"
"O que é a poluição do solo?","A poluição do solo é a contaminação do solo por substâncias químicas, metais pesados, resíduos industriais e outros poluentes, que podem prejudicar a produtividade agrícola e a saúde humana.","Poluição Ambiental"
"O que é a poluição sonora?","A poluição sonora é a presença de ruídos indesejados ou em excesso no ambiente, que podem causar desconforto, estresse e danos à saúde auditiva.","Poluição Ambiental"
"O que é a reciclagem?","A reciclagem é o processo de coletar e transformar materiais usados em novos produtos, reduzindo a quantidade de resíduos enviados para aterros e conservando recursos naturais.","Sustentabilidade"
"O que é a sustentabilidade?","A sustentabilidade é a capacidade de atender às necessidades atuais sem comprometer as futuras gerações. Envolve práticas ambientais, sociais e econômicas responsáveis.","Sustentabilidade"
"O que é a pegada ecológica?","A pegada ecológica é uma medida do impacto humano no meio ambiente, calculada em termos de área de terra e mar necessária para sustentar o consumo e os resíduos produzidos.","Sustentabilidade"
"O que é a biodiversidade?","A biodiversidade é a variedade de formas de vida em um ecossistema, incluindo a diversidade de espécies, habitats e ecossistemas. Ela é fundamental para a saúde e equilíbrio dos ecossistemas.","Ecologia Básica"
"O que é a extinção de espécies?","A extinção de espécies é o desaparecimento permanente de uma espécie, geralmente causada por fatores naturais ou humanos, como perda de habitat, poluição e caça predatória.","Ecologia Básica"
"O que é a preservação ambiental?","A preservação ambiental é o conjunto de ações e práticas destinadas a proteger e conservar o meio ambiente, incluindo a flora, fauna, água e ar, para garantir a sustentabilidade.","Conservação Ambiental"
"O que é a conservação da natureza?","A conservação da natureza é o esforço para proteger e manter a biodiversidade, ecossistemas e recursos naturais, garantindo que eles continuem disponíveis para as futuras gerações.","Conservação Ambiental"
"O que é a mudança climática?","A mudança climática é a alteração das condições climáticas da Terra, geralmente causada por atividades humanas que aumentam a concentração de gases de efeito estufa na atmosfera, levando a eventos climáticos extremos.","Climatologia Básica"
"O que é o aquecimento global?","O aquecimento global é o aumento gradual da temperatura média da Terra, principalmente devido à emissão de gases de efeito estufa, como dióxido de carbono e metano, resultante de atividades humanas.","Climatologia Básica"
"O que é a pegada de carbono?","A pegada de carbono é a quantidade total de gases de efeito estufa emitidos direta ou indiretamente por uma pessoa, organização, evento ou produto, geralmente expressa em toneladas de dióxido de carbono equivalente.","Climatologia Básica"
"O que é a captação de carbono?","A captação de carbono é o processo de remover dióxido de carbono da atmosfera e armazená-lo de forma segura, geralmente em reservatórios subterrâneos ou em formas de uso industrial.","Climatologia Básica"
"O que é a neutralização de carbono?","A neutralização de carbono é o processo de compensar as emissões de gases de efeito estufa através de ações que reduzem ou eliminam a mesma quantidade de gases, como plantar árvores ou investir em energias renováveis.","Climatologia Básica"
"O que é a fotossíntese artificial?","A fotossíntese artificial é um processo tecnológico que imita a fotossíntese das plantas, convertendo luz solar, dióxido de carbono e água em combustíveis e produtos químicos úteis.","Tecnologia Verde"
"O que é a energia verde?","A energia verde é a energia produzida a partir de fontes renováveis e limpas, como sol, vento, água e biomassa, que têm um baixo impacto ambiental e contribuem para a redução das emissões de gases de efeito estufa.","Energia Renovável"
"O que é a energia limpa?","A energia limpa é a energia produzida sem a emissão de poluentes nocivos, geralmente proveniente de fontes renováveis como sol, vento, água e geotermia.","Energia Renovável"
"O que é a energia renovável?","A energia renovável é a energia obtida de fontes naturais que são inesgotáveis ou que se regeneram rapidamente, como sol, vento, água e biomassa.","Energia Renovável"
"O que é a energia não renovável?","A energia não renovável é a energia obtida de fontes finitas que se esgotam com o uso, como petróleo, carvão e gás natural.","Energia Não Renovável"
"O que é a energia nuclear?","A energia nuclear é a energia liberada durante as reações nucleares, como a fissão ou a fusão de átomos. Ela é usada para gerar eletricidade em usinas nucleares.","Energia Não Renovável"
"O que é a energia hidrelétrica?","A energia hidrelétrica é a energia gerada pelo movimento da água, geralmente em usinas hidrelétricas, onde a água cai de grandes alturas, girando turbinas que geram eletricidade.","Energia Renovável"
"O que é a energia geotérmica?","A energia geotérmica é a energia proveniente do calor interno da Terra. Ela é capturada e usada para gerar eletricidade ou aquecer edifícios.","Energia Renovável"
"O que é a energia biomassa?","A energia biomassa é a energia obtida a partir de materiais orgânicos, como madeira, resíduos agrícolas e resíduos urbanos, que são queimados para gerar calor ou eletricidade.","Energia Renovável"
"O que é a órbita?","A órbita é a trajetória que um corpo celeste segue ao redor de outro corpo celestial devido à atração gravitacional. Por exemplo, a Terra orbita o Sol.","Astronomia Básica"
"O que são luas?","Luas são corpos celestes que orbitam planetas. Por exemplo, a Terra tem uma lua, enquanto Júpiter tem 79 luas conhecidas.","Astronomia Básica"
"O que são anéis planetários?","Anéis planetários são discos de partículas de gelo, poeira e rochas que orbitam alguns planetas, como Saturno, Júpiter, Urano e Netuno.","Astronomia Básica"
"O que são asteróides?","Asteróides são pequenos corpos celestes compostos principalmente de rochas e metais que orbitam o Sol. Eles são menores que planetas, mas maiores que meteoroides.","Astronomia Básica"
"O que são cometas?","Cometas são corpos celestes compostos de gelo, poeira e rochas que orbitam o Sol. Quando se aproximam do Sol, o calor faz com que parte do cometa se vaporize, formando uma cauda brilhante.","Astronomia Básica"
"O que são meteoros?","Meteoros, também conhecidos como estrelas cadentes, são pedaços de rocha ou metal que entram na atmosfera terrestre e queimam devido ao atrito, produzindo uma trilha luminosa.","Astronomia Básica"
"O que são meteoritos?","Meteoritos são fragmentos de meteoroides que sobrevivem à passagem pela atmosfera terrestre e atingem a superfície da Terra.","Astronomia Básica"
"O que são meteoroides?","Meteoroides são pequenos corpos celestes que orbitam o Sol. Quando entram na atmosfera terrestre, tornam-se meteoros e, se sobreviverem, atingem a superfície como meteoritos.","Astronomia Básica"
"O que são estrelas?","Estrelas são corpos celestes luminosos que emitem luz e calor por meio de reações nucleares de fusão em seu interior. Elas são formadas principalmente de hidrogênio e hélio.","Astronomia Básica"
"O que são galáxias?","Galáxias são conjuntos enormes de estrelas, gás, poeira e matéria escura ligados pela gravidade. A Via Láctea, onde nossa Terra está localizada, é um exemplo de galáxia.","Astronomia Básica"
"O que são buracos negros?","Buracos negros são regiões do espaço onde a gravidade é tão forte que nada, nem mesmo a luz, pode escapar. Eles são formados pelo colapso gravitacional de estrelas massivas.","Astronomia Básica"
"O que são estrelas de nêutrons?","Estrelas de nêutrons são estrelas extremamente densas formadas após a supernova de uma estrela massiva. Elas têm uma massa similar ao Sol, mas com um diâmetro de apenas cerca de 20 km.","Astronomia Básica"
"O que são estrelas variáveis?","Estrelas variáveis são estrelas cuja luminosidade muda de forma periódica ou não periódica. Elas são importantes para medir distâncias no universo.","Astronomia Básica"
"O que são constelações?","Constelações são grupos de estrelas que formam padrões reconhecíveis no céu noturno. Existem 88 constelações oficiais reconhecidas pela União Astronômica Internacional.","Astronomia Básica"
"O que são pulsares?","Pulsares são estrelas de nêutrons que emitem feixes de radiação que parecem piscar quando vistos da Terra. Eles são conhecidos por sua rotação extremamente regular.","Astronomia Básica"
"O que são quasares?","Quasares, ou quasares, são núcleos galácticos ativos que emitem enormes quantidades de energia. Eles são alimentados por buracos negros supermassivos no centro de galáxias distantes.","Astronomia Básica"
"O que são nebulosas?","Nebulosas são nuvens de gás e poeira no espaço. Elas podem ser restos de estrelas explodidas (nebulosas planetárias) ou regiões de formação estelar (nebulosas de emissão).","Astronomia Básica"
"O que são supernovas?","Supernovas são explosões estelares extremamente brilhantes que ocorrem no final da vida de uma estrela massiva ou quando uma estrela anã branca acumula material de uma estrela companheira.","Astronomia Básica"
"O que são estrelas anãs brancas?","Estrelas anãs brancas são estrelas compactas e extremamente densas que representam o estágio final de vida de estrelas de baixa a média massa, como o Sol.","Astronomia Básica"
"O que são estrelas anãs vermelhas?","Estrelas anãs vermelhas são estrelas de baixa massa e temperatura, que são as mais comuns no universo. Elas têm uma vida muito longa devido à sua baixa taxa de consumo de combustível nuclear.","Astronomia Básica"
"O que são estrelas anãs marrons?","Estrelas anãs marrons são objetos celestes que são maiores que planetas gasosos, mas menores que estrelas. Elas não têm massa suficiente para iniciar a fusão nuclear de hidrogênio, mas podem fusionar deutério.","Astronomia Básica"
"O que são estrelas binárias?","Estrelas binárias são sistemas de duas estrelas que orbitam um ponto comum devido à atração gravitacional mútua. Elas são comuns no universo.","Astronomia Básica"
